Timeslot,Trips,Passengers
4,2,34
5,5,152
6,6,231
7,5,441
8,6,567
9,7,632
10,6,478
11,6,413
12,4,217
13,5,189
14,5,246
15,5,189
16,4,176
17,5,256
18,4,239
19,5,310
20,4,345
21,4,389
22,4,256
23,4,113
0,3,79
1,2,25
4,1,34
5,4,152
6,5,231
7,4,441
8,5,567
9,6,632
10,5,478
11,5,413
12,3,217
13,4,189
14,3,246
15,4,189
16,3,176
17,4,256
18,3,239
19,4,310
20,3,345
21,3,389
22,3,256
23,3,113
0,2,79
1,1,25
4,4,34
5,6,152
6,7,231
7,6,441
8,5,567
9,8,632
10,6,478
11,5,413
12,6,217
13,4,189
14,4,246
15,3,189
16,3,176
17,5,256
18,6,239
19,6,310
20,4,345
21,5,389
22,5,256
23,5,113
0,4,79
1,3,25
4,2,34
5,4,152
6,5,231
7,4,441
8,4,567
9,5,632
10,7,478
11,7,413
12,6,217
13,3,189
14,2,246
15,5,189
16,4,176
17,4,256
18,5,239
19,6,310
20,4,345
21,6,389
22,5,256
23,5,113
0,2,79
1,1,25
4,3,34
5,4,152
6,4,231
7,5,441
8,6,567
9,7,632
10,7,478
11,8,413
12,4,217
13,6,189
14,7,246
15,8,189
16,3,176
17,4,256
18,5,239
19,4,310
20,6,345
21,4,389
22,5,256
23,3,113
0,3,79
1,1,25
4,2,34
5,3,152
6,5,231
7,6,441
8,7,567
9,7,632
10,6,478
11,6,413
12,4,217
13,5,189
14,5,246
15,5,189
16,4,176
17,5,256
18,4,239
19,5,310
20,4,345
21,4,389
22,4,256
23,4,113
0,3,79
1,2,25
4,0,34
5,5,152
6,4,231
7,5,441
8,6,567
9,7,632
10,6,478
11,6,413
12,4,217
13,5,189
14,4,246
15,6,189
16,5,176
17,4,256
18,3,239
19,6,310
20,4,345
21,5,389
22,4,256
23,5,113
0,2,79
1,0,25
4,2,34
5,5,152
6,6,231
7,5,441
8,6,567
9,7,632
10,6,478
11,6,413
12,4,217
13,5,189
14,5,246
15,5,189
16,4,176
17,5,256
18,4,239
19,5,310
20,4,345
21,4,389
22,4,256
23,4,113
0,3,79
1,2,25
4,1,34
5,4,152
6,5,231
